Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 3-комнатной квартиры 78,7 м², 17/17 этаж",Москва,ЗАО,3,34,32,6.6,78.7,42700000
"Продажа 1-комнатной квартиры 41,5 м², 4/23 этаж",Москва,САО,3,22,13,12.7,41.5,12826671
"Продажа 2-комнатной квартиры 60,2 м², 3/8 этаж",Москва,ЮВАО,3,15,11,4.7,60.2,25216536
"Продажа 1-комнатной квартиры 27,2 м², 1/9 этаж",Москва,ЦАО,3,23,9,4.7,27.2,5411000
"Продажа 2-комнатной квартиры 38 м², 12/14 этаж",Москва,Новая Москва,3,34,24,23.7,38.0,12500000
"Продажа 2-комнатной квартиры 53 м², 24/33 этаж",Москва,САО,3,26,12,12.6,53.0,17088260
"Продажа 3-комнатной квартиры 95,9 м², 13/50 этаж",Москва,ЗАО,3,31,25,6.8,95.9,55000000
"Продажа 3-комнатной квартиры 58 м², 9/9 этаж",Москва,ЮВАО,3,27,8,12.0,58.0,14300000
"Продажа 2-комнатной квартиры 92,9 м², 28/32 этаж",Москва,ЮАО,3,24,10,0.0,92.9,85351038
"Продажа 2-комнатной квартиры 59 м², 1/24 этаж",Москва,СЗАО,3,30,13,14.3,59.0,17039554
"Продажа 2-комнатной квартиры 53,6 м², 11/17 этаж",Москва,ВАО,3,41,38,11.1,53.6,12338720
"Продажа 1-комнатной квартиры 32,1 м², 3/5 этаж",Москва,ЗАО,3,26,19,11.3,32.1,11900000
"Продажа квартиры-студии 25,5 м², 2/33 этаж",Москва,ЮАО,3,26,20,8.8,25.5,7199874
,,,,,,,,
"Продажа 1-комнатной квартиры 26,6 м², 6/10 этаж",Москва,ЮВАО,3,18,9,4.0,26.6,11000000
"Продажа квартиры-студии 22,6 м², 22/23 этаж",Москва,САО,3,22,13,12.7,22.6,7675733
"Продажа 2-комнатной квартиры 48,4 м², 4/28 этаж",Москва,ВАО,3,19,11,9.8,48.4,11755392
"Продажа многокомнатной квартиры 149 м², 32/32 этаж",Москва,САО,3,18,5,6.5,149.0,58500000
"Продажа 3-комнатной квартиры 103,3 м², 15/21 этаж",Москва,ЗАО,3,30,14,9.8,103.3,45500000
"Продажа 2-комнатной квартиры 61 м², 7/25 этаж",Москва,ЮЗАО,3,21,15,11.2,61.0,25492038
"Продажа 1-комнатной квартиры 37,9 м², 32/33 этаж",Москва,ВАО,3,19,12,10.6,37.9,11118119
"Продажа 1-комнатной квартиры 39,4 м², 14/23 этаж",Москва,ЗАО,3,25,6,18.9,39.4,11990000
"Продажа 4-комнатной квартиры 89,9 м², 5/9 этаж",Москва,ЮЗАО,3,29,4,8.7,89.9,47000000
"Продажа 2-комнатной квартиры 103 м², 18/32 этаж",Москва,ЮЗАО,3,22,8,11.8,103.0,35999000
"Продажа 2-комнатной квартиры 42,8 м², 8/9 этаж",Москва,ВАО,3,22,14,12.8,42.8,10700000
"Продажа 3-комнатной квартиры 67 м², 8/12 этаж",Москва,СВАО,3,20,9,4.9,67.0,18100000
"Продажа 2-комнатной квартиры 55,2 м², 21/32 этаж",Москва,СЗАО,3,28,12,6.6,55.2,29767646
"Продажа 1-комнатной квартиры 38,9 м², 8/14 этаж",Москва,Зеленоград,3,82,72,1121.0,38.9,7780000
"Продажа 1-комнатной квартиры 44 м², 13/15 этаж",Москва,СЗАО,3,27,9,10.4,44.0,24543200
"Продажа 1-комнатной квартиры 33,9 м², 26/38 этаж",Москва,ЮВАО,3,26,9,5.0,33.9,10599452
"Продажа квартиры-студии 25,4 м², 9/25 этаж",Москва,СВАО,3,27,11,12.0,25.4,8206892
"Продажа 1-комнатной квартиры 34,3 м², 13/15 этаж",Москва,САО,3,47,39,24.9,34.3,10478650
"Продажа 1-комнатной квартиры 35,9 м², 4/21 этаж",Москва,ЗАО,3,28,9,12.1,35.9,11939124
"Продажа 2-комнатной квартиры 45 м², 7/12 этаж",Москва,САО,3,24,18,15.0,45.0,11498999
"Продажа квартиры-студии 17 м², 3/7 этаж",Москва,ЮАО,3,29,14,14.1,17.0,2800000
"Продажа 2-комнатной квартиры 72 м², 2/18 этаж",Москва,СЗАО,3,48,37,22.6,72.0,17900000
"Продажа 1-комнатной квартиры 54,8 м², 11/19 этаж",Москва,ЮЗАО,3,26,15,12.2,54.8,25000000
"Продажа 2-комнатной квартиры 38,6 м², 28/32 этаж",Москва,ЗАО,3,16,9,7.3,38.6,13551379
"Продажа 3-комнатной квартиры 103,3 м², 18/28 этаж",Москва,ЮАО,3,21,16,4.2,103.3,43491604
"Продажа 1-комнатной квартиры 44 м², 6/24 этаж",Москва,ЮАО,3,25,11,11.9,44.0,12500000
"Продажа 3-комнатной квартиры 60,1 м², 6/9 этаж",Москва,ЮАО,3,18,12,16.8,60.1,13800000
"Продажа 3-комнатной квартиры 99 м², 2/19 этаж",Москва,СЗАО,3,27,9,10.3,99.0,39966300
"Продажа 1-комнатной квартиры 34,3 м², 8/14 этаж",Москва,САО,3,47,39,24.8,34.3,8557850
"Продажа 4-комнатной квартиры 85,3 м², 5/14 этаж",Москва,САО,3,47,39,24.8,85.3,16015075
"Продажа 2-комнатной квартиры 54,5 м², 7/12 этаж",Москва,Новая Москва,3,79,68,30.0,54.5,10938150
"Продажа 1-комнатной квартиры 53,1 м², 13/14 этаж",Москва,ЦАО,3,13,10,0.0,53.1,37400000
"Продажа квартиры-студии 15,7 м², 5/5 этаж",Москва,ЮВАО,3,25,13,9.8,15.7,5226392
"Продажа 1-комнатной квартиры 33,9 м², 39/57 этаж",Москва,СЗАО,3,22,11,9.6,33.9,18000000
"Продажа 1-комнатной квартиры 42 м², 5/33 этаж",Москва,ЮВАО,3,26,9,5.0,42.0,12070089
"Продажа 2-комнатной квартиры 72,4 м², 22/24 этаж",Москва,ЮАО,3,28,11,7.5,72.4,40548690
"Продажа 2-комнатной квартиры 44,3 м², 2/9 этаж",Москва,ЮАО,3,30,12,14.8,44.3,10950000
"Продажа 2-комнатной квартиры 41,8 м², 19/26 этаж",Москва,ЮАО,3,27,19,7.9,41.8,16195810
"Продажа 3-комнатной квартиры 74,2 м², 28/37 этаж",Москва,ЗАО,3,29,13,12.0,74.2,29306315
"Продажа 2-комнатной квартиры 37 м², 1/9 этаж",Москва,ЮЗАО,3,26,10,9.7,37.0,11400000
"Продажа 2-комнатной квартиры 34 м², 6/12 этаж",Москва,ЮЗАО,3,21,15,11.5,34.0,15747184
"Продажа 3-комнатной квартиры 83,6 м², 4/22 этаж",Москва,СВАО,3,18,16,5.2,83.6,32572148
"Продажа 1-комнатной квартиры 37,3 м², 13/23 этаж",Москва,ЮВАО,3,25,12,20.0,37.3,12275273
"Продажа 1-комнатной квартиры 46,5 м², 8/17 этаж",Москва,ВАО,3,41,38,11.0,46.5,10797300
"Продажа 1-комнатной квартиры 72 м², 28/79 этаж",Москва,ЦАО,3,12,6,5.5,72.0,56000000
"Продажа квартиры-студии 25,7 м², 8/14 этаж",Москва,Новая Москва,3,75,64,,25.7,6980634
"Продажа 2-комнатной квартиры 59,8 м², 16/17 этаж",Москва,Новая Москва,3,29,25,23.5,59.8,12883830
"Продажа 1-комнатной квартиры 34,4 м², 3/33 этаж",Москва,СВАО,3,25,22,13.6,34.4,8130371
"Продажа 2-комнатной квартиры 63,7 м², 16/21 этаж",Москва,ЗАО,3,28,9,12.2,63.7,20157063
"Продажа 1-комнатной квартиры 40,6 м², 17/43 этаж",Москва,САО,3,21,10,6.7,40.6,19274229
"Продажа 4-комнатной квартиры 176 м², 12/17 этаж",Москва,ЗАО,3,29,19,7.3,176.0,138500000
"Продажа 1-комнатной квартиры 32,1 м², 11/17 этаж",Москва,ВАО,3,41,38,11.1,32.1,8663790
"Продажа квартиры-студии 27 м², 18/55 этаж",Москва,СВАО,3,30,7,6.6,27.0,11664000
"Продажа 1-комнатной квартиры 46 м², 29/29 этаж",Москва,ЮВАО,3,21,12,7.8,46.0,15490000
"Продажа 1-комнатной квартиры 34,7 м², 3/52 этаж",Москва,ЮАО,3,30,22,13.9,34.7,12762972
"Продажа квартиры-студии 25 м², 2/15 этаж",Москва,Новая Москва,3,34,24,23.7,25.0,8600000
"Продажа 2-комнатной квартиры 67 м², 5/58 этаж",Москва,САО,3,14,3,6.8,67.0,32450000
"Продажа 1-комнатной квартиры 46,1 м², 11/17 этаж",Москва,Новая Москва,3,29,25,23.5,46.1,10305898
"Продажа 3-комнатной квартиры 88 м², 12/37 этаж",Москва,СЗАО,3,29,17,7.2,88.0,35990000
"Продажа 1-комнатной квартиры 34,3 м², 10/14 этаж",Москва,САО,3,47,39,24.8,34.3,9250710
"Продажа 3-комнатной квартиры 90,9 м², 14/32 этаж",Москва,ЮВАО,3,14,11,13.1,90.9,28500000
"Продажа квартиры-студии 26,1 м², 5/23 этаж",Москва,САО,3,22,13,12.7,26.1,9971382
"Продажа 3-комнатной квартиры 77,8 м², 2/9 этаж",Москва,Новая Москва,3,79,68,30.0,77.8,16151280
"Продажа 1-комнатной квартиры 32,3 м², 10/28 этаж",Москва,ВАО,3,19,11,9.8,32.3,8516605
"Продажа 2-комнатной квартиры 72,4 м², 11/24 этаж",Москва,ЮАО,3,27,10,7.5,72.4,34817538
"Продажа 2-комнатной квартиры 54,5 м², 8/9 этаж",Москва,Новая Москва,3,79,68,30.0,54.5,10938150
"Продажа 3-комнатной квартиры 74 м², 13/17 этаж",Москва,ЮАО,3,13,7,16.9,74.0,16390000
"Продажа квартиры-студии 21,5 м², 3/15 этаж",Москва,Новая Москва,3,20,6,21.4,21.5,7730000
"Продажа 1-комнатной квартиры 37,1 м², 1/16 этаж",Москва,ЗАО,3,30,17,13.4,37.1,11800000
"Продажа 1-комнатной квартиры 32,4 м², 5/9 этаж",Москва,Новая Москва,3,62,52,29.6,32.4,5989382
"Продажа 1-комнатной квартиры 35 м², 11/12 этаж",Москва,ЮЗАО,3,22,12,11.8,35.0,12500000
"Продажа 1-комнатной квартиры 42 м², 18/24 этаж",Москва,ЮВАО,3,17,12,12.0,42.0,11300000
"Продажа 2-комнатной квартиры 47,1 м², 4/12 этаж",Москва,ЗАО,3,24,8,12.6,47.1,14000000
"Продажа квартиры-студии 30,3 м², 6/12 этаж",Москва,Новая Москва,3,79,68,29.8,30.3,6841740
"Продажа 2-комнатной квартиры 53,4 м², 8/14 этаж",Москва,Новая Москва,3,62,52,29.4,53.4,8678888
"Продажа 1-комнатной квартиры 43,9 м², 5/11 этаж",Москва,ЮАО,3,37,29,7.5,43.9,17184377
"Продажа 2-комнатной квартиры 62,6 м², 24/29 этаж",Москва,ЮВАО,3,23,14,9.0,62.6,24542080
"Продажа 3-комнатной квартиры 82 м², 5/8 этаж",Москва,ЦАО,3,25,15,4.8,82.0,77000000
"Продажа 1-комнатной квартиры 42,2 м², 3/15 этаж",Москва,САО,3,47,39,24.9,42.2,9181876
"Продажа 2-комнатной квартиры 52,6 м², 2/24 этаж",Москва,СВАО,3,30,21,13.7,52.6,11830266
"Продажа 1-комнатной квартиры 45,1 м², 28/28 этаж",Москва,СЗАО,3,24,4,10.8,45.1,15000000
"Продажа 2-комнатной квартиры 72,4 м², 6/11 этаж",Москва,ЮАО,3,37,29,7.5,72.4,26735230
"Продажа 1-комнатной квартиры 41,2 м², 10/12 этаж",Москва,Новая Москва,3,79,68,29.8,41.2,8553120
"Продажа 1-комнатной квартиры 39,3 м², 33/52 этаж",Москва,СЗАО,3,28,12,16.3,39.3,16578406
"Продажа 2-комнатной квартиры 52 м², 9/14 этаж",Москва,СВАО,3,27,26,13.3,52.0,14100000
"Продажа 1-комнатной квартиры 52 м², 5/14 этаж",Москва,ЗАО,3,26,15,14.0,52.0,14300000
"Продажа квартиры-студии 18 м², 5/9 этаж",Москва,САО,3,20,15,8.3,18.0,6660000
"Продажа квартиры-студии 19,8 м², 13/15 этаж",Москва,СВАО,3,25,19,14.4,19.8,7294320
"Продажа 3-комнатной квартиры 96,1 м², 2/28 этаж",Москва,СВАО,3,18,14,7.5,96.1,35870000
"Продажа 1-комнатной квартиры 40 м², 2/3 этаж",Москва,Новая Москва,3,76,66,274.0,40.0,5803650
"Продажа 3-комнатной квартиры 50,6 м², 2/9 этаж",Москва,ЮАО,3,30,26,18.7,50.6,9300000
"Продажа 2-комнатной квартиры 81,2 м², 3/13 этаж",Москва,СЗАО,3,27,9,10.9,81.2,33089000
"Продажа 2-комнатной квартиры 42,9 м², 2/5 этаж",Москва,СЗАО,3,29,20,16.4,42.9,11000000
